"MMSI","TSTAMP","LATITUDE","LONGITUDE","COG","SOG","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","TYPE","A","B","C","D","DRAUGHT","DEST","ETA"
244274000,1501098803,31511743,3261496,3560,0,63,0,0,"SIROCCO","PCDD",90,15,6,3,3,10,"LELYSTAD<>MARKERWADN",0
244670131,1501098809,31620057,3175132,3600,0,511,15,0,"EH4 DOLFYN","PH4057",30,6,15,5,2,16,"ENKHUIZEN",1596
645309000,1501098635,30739939,1757484,1459,0,318,5,9119335,"GERARDUS MERCATOR","3BRF",99,20,132,15,15,80,"OOSTENDE",512320
235114568,1501098792,30797785,853525,1700,0,172,9,0,"TEMPEST","2JBR5",40,8,13,4,5,12,"RAMSGATE-KENTISHFLAT",506403
205647000,1501098805,30734845,2635623,2816,0,21,0,1086752,"PIERRE PETIT","ORBU",79,22,0,3,3,10,"ZEEBRUGGE",453184
255806012,1501098625,23118577,-16992193,3047,1,120,5,9141613,"PONTA DO SOL","CSCR",70,88,12,12,4,66,"FLORES",512768
316008770,1501098788,30506074,-76642576,2890,94,291,0,9237591,"ROY KRISTIAN","CFK5461",30,0,0,0,0,40,"KLEMTU",455424
205437190,1501098809,30739376,2648909,0,0,511,15,0,"SPN19","OT4371",99,11,8,1,5,2,"",6656
219000737,1501098755,32791948,6811430,1597,0,54,5,7432202,"HOLGER DANSKE","OUSB2",79,20,64,3,10,35,"ROEDBY PUTTGARDEN",115904
245618000,1501098800,30735810,1761970,3310,1,91,0,8613047,"RIO","PHCL",33,70,12,3,13,58,"OOSTENDE",444544
244100974,1501098809,31619414,3173364,3600,0,511,15,0,"THE ESCAPE","PD6398",37,18,5,4,3,0,"HOORN__,_",406592
236644000,1501098705,34491614,6842293,3091,92,311,0,9166467,"SYLVIA","ZDNW2",79,97,11,8,7,53,"PUURS",519040
232007350,1501098809,31762667,3019270,3059,0,215,7,0,"MFV OUR MIRANDA","MJYE8",30,20,10,4,4,35,"FISHING GROUNDS",558144
