"MMSI","TSTAMP","LATITUDE","LONGITUDE","COG","SOG","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","TYPE","A","B","C","D","DRAUGHT","DEST","ETA"
338075091,1500321549,20546546,-71557561,2758,0,511,0,0,"RUMRUNNER II","",0,0,0,0,0,0,"",
246115000,1500321562,31450829,2884540,3057,0,14,15,9292888,"SVITZER MUIDEN","PBGX",90,10,10,3,2,0,"",1596
316033841,1500321516,30308139,-34597061,2106,25,511,0,0,"KMKA VOYAGER I","",0,0,0,0,0,0,"",
412701270,1500321554,14700570,70844565,2417,0,298,8,0,"XIA GANG TUO 12 HAO","BVBL8",52,19,19,5,5,38,"XIA  MEN",0
235084164,1500321437,30473244,-669536,3323,0,511,0,0,"GREBE VIII","",0,0,0,0,0,0,"",
257878600,1500321545,37880264,5082141,334,0,511,0,0,"EMANUEL DESPERADOS","LG-9178",70,5,10,5,4,0,"",
367375750,1500321022,27291122,-73595628,3600,0,511,0,0,"ROSS ISLAND DREDGE 0","WDE6095",0,29,25,3,6,0,"",0
413304760,1500321532,23384434,70673352,3256,0,189,0,0,"JIN GANG LUN 29","",52,10,25,6,7,48,"TIAN JIN",0
240335000,1500321449,31276300,1664800,1820,0,182,1,9299898,"PELAGOS","SZSW",89,210,39,14,30,80,"ROTTERDAM LONG TERM",489920
244660063,1500321567,31420254,3971630,0,0,511,0,0,"MARION","PI3084",20,75,11,5,5,0,"ONBEKEND",0
636013530,1500321238,17868610,73244371,503,0,49,5,9256224,"YM SINGAPORE","A8NN9",70,194,70,18,16,67,"NINGBO",467072
563986000,1500321548,777836,62253628,2720,0,511,0,9559468,"AZ SAKURA","9V8067",52,8,23,7,3,30,"",597262
211517340,1500321444,30574681,8448049,3600,0,511,5,0,"RATINER","",69,3,15,5,0,0,"",1596
244690021,1500321563,31831874,3241806,1363,0,511,0,0,"SILOAM","PE6314",69,8,27,3,4,15,"NLKAM000841234209949",0
211472070,1500321553,32117262,5145454,2722,0,511,4,0,"WESERTANK 22","DB6098",80,37,8,2,4,0,"BHV",760737
414716000,1500321536,23905378,71921526,3385,0,62,1,9591698,"SHI DAI 8","BPJA",71,190,35,12,20,71,"Q H D",473280
257335220,1500321528,41411763,9074877,0,0,511,0,0,"SVEIN JOHAN","LM6462",30,3,7,2,2,0,"",
413300080,1500320998,23397601,70612763,0,0,511,5,0,"HAI BAO 3 HAO","BFDW",99,7,31,3,3,20,"TIANJIN",547166
247089500,1500321570,26013950,6096600,1930,182,191,0,9208083,"MEGA EXPRESS THREE","IBAZ",69,38,174,21,4,65,"GOLFO ARANCI",495902
622123240,1500321563,18791499,19444928,2512,102,511,3,9284180,"MAKA","6ACI",90,0,0,0,0,90,"SUEZ CANAL DREDGE",437440
